case,num,MN,FCFS max_delay,last lane change max_delay,out_lane_change max_delay,FCFS mean_delay,last lane change mean_delay,out_lane_change mean_delay,FCFS maxe,last lane change maxe,out_lane_change maxe
04_4_20,10,4_5,5.420000000000002,5.420000000000002,4.280000000000001,1.2821739130434788,1.2821739130434788,1.0360869565217397,24.64,24.64,22.380000000000003
04_4_40,1,4_5,21.410000000000004,21.410000000000004,12.220000000000002,7.753928571428571,7.700357142857143,4.047321428571429,60.56,60.56,47.78
04_4_40,2,4_5,23.310000000000002,23.310000000000002,12.310000000000002,9.205,9.2025,4.561071428571429,62,62,49
04_4_40,3,4_5,31.940000000000005,31.940000000000005,14.180000000000007,11.842500000000001,11.859166666666667,5.942666666666668,70.99000000000001,70.99000000000001,52.230000000000004
04_4_40,4,4_5,31.68,31.68,15.68,11.939843750000001,11.939843750000001,7.12390625,70.87,70.87,54
04_4_40,5,4_5,31.299999999999997,31.299999999999997,15.68,11.47391304347826,11.47391304347826,7.153333333333333,68,68,54
04_4_40,6,4_5,20.619999999999997,20.619999999999997,13.25,8.172075471698113,8.172075471698113,4.979245283018868,58,58,48.29
04_4_40,7,4_5,16.129999999999995,16.129999999999995,8.899999999999999,5.806200000000002,5.756000000000002,3.1973999999999996,54.019999999999996,54.019999999999996,44.480000000000004
04_4_40,8,4_5,26.620000000000005,25.360000000000007,15.939999999999998,9.026774193548388,9.074354838709677,6.12725806451613,65,64.21000000000001,54.21
04_4_40,9,4_5,21.83,24.199999999999996,13.240000000000002,7.754666666666666,8.352666666666666,5.524,60.54,64,51.06
04_4_40,10,4_5,31.459999999999994,33.459999999999994,21.1,13.137714285714285,13.178285714285714,7.624285714285714,70,72,54
04_4_60,1,4_5,54.56999999999999,55.84000000000001,32.56999999999999,18.065963302752294,18.52045871559633,12.0497247706422,112,112,91
04_4_60,2,4_5,32.18,30.18,14.950000000000003,10.519761904761907,10.44059523809524,6.714404761904763,92,87,69
04_4_60,3,4_5,30.049999999999997,31.049999999999997,18.049999999999997,11.887564102564102,11.596794871794872,7.5908974358974355,85.67,85.67,72
04_4_60,4,4_5,47.12,50.12,25.869999999999997,17.872745098039214,18.26490196078431,10.95,105.57,108.57,84.32
04_4_60,5,4_5,32.99,36.21,20.110000000000007,11.767529411764707,10.792705882352942,6.944117647058825,91.72,90.72,79
04_4_60,6,4_5,34.03999999999999,34.03999999999999,22.090000000000003,15.032888888888888,14.848999999999998,10.245888888888889,88,87,76
04_4_60,7,4_5,49.499999999999986,53.40999999999999,25.240000000000002,15.931684210526313,17.263894736842104,9.410210526315788,109.32,113.32,84.32
04_4_60,8,4_5,40.81,41.12999999999999,20.770000000000003,15.245581395348836,15.277906976744186,9.120581395348836,97,95,76
04_4_60,9,4_5,44.96000000000001,46.96000000000001,23.77000000000001,18.50557894736842,16.596,9.248105263157896,102.03,102.03,80
04_4_60,10,4_5,19.569999999999993,18.42,11.5,6.490144927536232,6.277101449275362,3.6523188405797096,78.75999999999999,75.05,66.35
06_4_20,1,4_5,21.560000000000002,21.560000000000002,14.64,7.742765957446808,7.742765957446808,6.463404255319149,41.35,41.35,34.43
06_4_20,2,4_5,22.860000000000003,22.860000000000003,14.5,6.7627906976744185,6.7627906976744185,5.616511627906976,41.45,41.45,33
06_4_20,3,4_5,21.939999999999998,21.939999999999998,17.32,7.255526315789473,7.275789473684211,5.855526315789474,41.86,41.86,33.61
06_4_20,4,4_5,13.52,13.52,10.77,5.1394594594594585,5.1394594594594585,4.533243243243243,33.43,33.43,29.49
06_4_20,5,4_5,17.92,17.92,14.330000000000002,6.038918918918919,6.023243243243243,5.162972972972973,35,35,30.77
06_4_20,6,4_5,19.919999999999998,19.919999999999998,13.0,6.201142857142857,6.201142857142857,4.594857142857142,38.28,38.28,30.57
06_4_20,7,4_5,15.59,15.59,13.59,6.046857142857142,6.063428571428571,5.646571428571429,31,31,30.42
06_4_20,8,4_5,22.9,22.9,18.21,8.214736842105262,8.214736842105262,6.589473684210526,38,38,33
06_4_20,9,4_5,22.6,22.6,18.430000000000007,7.520697674418606,7.520697674418606,6.413255813953489,41.370000000000005,41.370000000000005,35.370000000000005
06_4_20,10,4_5,23.110000000000003,23.110000000000003,20.970000000000002,8.2455,8.2455,6.471,41.81,41.81,34.81
06_4_40,1,4_5,46.580000000000005,39.379999999999995,23.92,12.649240506329114,11.737848101265822,8.938607594936709,83,79.28,62
06_4_40,2,4_5,61.01,60.01,34.35,22.247608695652175,22.572391304347825,14.775869565217391,101,100,73.34
